RECV_CPLT_DM,HPPN_PNU_ADDR,HPPN_X,HPPN_Y,RECV_year,RECV_month,RECV_day,RECV_hour
2020-12-01 13:22:45,세종특별자치시 조치원읍 원리 13 ,127.30318,36.60151,20,12,01,13
2020-12-01 10:45:45,세종특별자치시 세종시 조치원읍 상리(조치원읍) 39-6,127.30461149,36.6031339,20,12,01,10
2020-12-01 13:07:38,세종특별자치시 세종시 부강면 부강리(행정:부강면) ,127.368902,36.522225,20,12,01,13
2020-12-01 12:21:09,세종특별자치시 세종시 소정면 고등리(행정:소정면) ,127.194694,36.717396,20,12,01,12
2020-12-01 16:51:57,세종특별자치시 세종시 종촌동(행정:종촌동) 677,127.246969,36.504865,20,12,01,16
2020-12-01 07:54:18,세종특별자치시 세종시 부강면 갈산리(부강면) 470-2,127.356276,36.543105,20,12,01,07
2020-12-01 05:55:14,세종특별자치시 세종시 조치원읍 남리(조치원읍) 33-2,127.29866982,36.59824848,20,12,01,05
2020-12-01 21:00:31,세종특별자치시 세종시 보람동(행정:보람동) 622-1,127.29327,36.4822,20,12,01,21
2020-12-01 22:21:08,세종특별자치시 세종시 반곡동(소담동) 59-7(V 4161동1호),127.31422,36.50045,20,12,01,22
2020-12-01 20:14:15,세종특별자치시 전동면 석곡리 6-25 ,127.25224,36.66238,20,12,01,20
2020-12-04 01:17:57,세종특별자치시 세종시 나성동(새롬동) 721,127.262514,36.480017,20,12,04,01
2020-12-04 01:16:44,세종특별자치시 세종시 나성동(행정:새롬동) 722,127.262247,36.479612,20,12,04,01
2020-12-03 22:13:08,세종특별자치시 세종시 조치원읍 죽림리(행정:조치원읍) 106-3,127.293603,36.591633,20,12,03,22
2020-12-02 17:49:49,세종특별자치시 세종시 도담동(도담동) 848,127.25944511,36.51239063,20,12,02,17
2020-12-02 16:36:53,세종특별자치시 세종시 가람동(한솔동) 116,127.25277013,36.47165837,20,12,02,16
2020-12-02 16:42:32,세종특별자치시 세종시 가람동(한솔동) 116,127.25277013,36.47165837,20,12,02,16
2020-12-02 17:03:45,세종특별자치시 조치원읍 신안리 209-7 ,127.28905,36.63035,20,12,02,17
2020-12-03 02:02:50,세종특별자치시 세종시 연기면 세종리(행정:연기면) ,127.315713,36.520697,20,12,03,02
2020-12-03 01:51:02,세종특별자치시 세종시 연기면 세종리(행정:연기면) ,127.315713,36.520697,20,12,03,01
2020-12-02 15:10:03,세종특별자치시 세종시 대평동(행정:대평동) 584-4,127.2688386,36.46847154,20,12,02,15
2020-12-02 15:38:40,세종특별자치시 나성동 361-88 ,127.25604,36.49214,20,12,02,15
2020-12-02 14:45:05,세종특별자치시 부강면 문곡리 754 ,127.39109,36.52936,20,12,02,14
2020-12-02 12:22:33,세종특별자치시 세종시 조치원읍 남리(행정:조치원읍) 176,127.30362,36.593046,20,12,02,12
2020-12-02 15:16:01,세종특별자치시 세종시 대평동(행정:대평동) 584-4,127.2688386,36.46847154,20,12,02,15
2020-12-02 11:11:52,세종특별자치시 세종시 다정동(행정:새롬동) 363-237,127.250803,36.49211,20,12,02,11
2020-12-02 14:32:48,세종특별자치시 세종시 보람동(행정:보람동) 628-5,127.288965,36.477368,20,12,02,14
2020-12-03 15:02:59,세종특별자치시 세종시 도담동(도담동) 219 ,127.26016975,36.51287004,20,12,03,15
2020-12-03 16:47:00,세종특별자치시 연서면 국촌리 67-9 ,127.26547,36.57528,20,12,03,16
2020-12-03 15:56:54,세종특별자치시 세종시 다정동(새롬동) 382-8,127.24032072,36.49889147,20,12,03,15
2020-12-03 16:02:55,세종특별자치시 세종시 다정동(새롬동) 382-8,127.24032072,36.49889147,20,12,03,16
2020-12-03 19:02:10,세종특별자치시 연서면 고복리 403 ,127.24889,36.60778,20,12,03,19
2020-12-03 20:52:25,세종특별자치시 다정동 363-183 ,127.24961,36.4937,20,12,03,20
2020-12-03 20:55:36,세종특별자치시 세종시 다정동(새롬동) 7-4,127.2483333,36.4944444,20,12,03,20
2020-12-03 18:20:45,세종특별자치시 조치원읍 번암리 227 ,127.29646,36.58611,20,12,03,18
2020-12-03 18:12:51,세종특별자치시 세종시 조치원읍 번암리(행정:조치원읍) 57-2,127.29720351,36.58668297,20,12,03,18
2020-12-03 18:29:00,세종특별자치시 세종시 연기면 세종리(연기면) 747-381,127.263157,36.467893,20,12,03,18
2020-12-03 19:25:36,세종특별자치시 세종시 조치원읍 침산리(행정:조치원읍) 278-11,127.289496,36.600932,20,12,03,19
2020-12-03 20:15:25,세종특별자치시 조치원읍 서창리 50-15 ,127.29296,36.61264,20,12,03,20
2020-12-03 08:11:25,세종특별자치시 세종시 전동면 송성리(행정:전동면) 656-1,127.21796,36.62721,20,12,03,08
2020-12-03 11:26:25,세종특별자치시 조치원읍 신흥리 130-1 ,127.29164,36.59154,20,12,03,11
2020-12-02 07:34:53,세종특별자치시 세종시 전의면 동교리(행정:전의면) 19-4,127.21769,36.67432,20,12,02,07
2020-12-02 07:39:12,세종특별자치시 세종시 나성동(새롬동) 472-2,127.25960331,36.48455804,20,12,02,07
2020-12-02 08:01:24,세종특별자치시 세종시 연기면 수산리(연기면) 572-3,127.215779,36.544282,20,12,02,08
2020-12-02 08:53:24,세종특별자치시 세종시 도담동(행정:도담동) ,127.258607,36.514502,20,12,02,08
2020-12-02 01:07:55,세종특별자치시 종촌동 산34 ,127.24131,36.5072,20,12,02,01
2020-12-06 07:03:30,세종특별자치시 조치원읍 신안리 77-2 ,127.2904,36.62393,20,12,06,07
2020-12-04 21:18:10,세종특별자치시 세종시 한솔동(한솔동) 984,127.25190369,36.47552271,20,12,04,21
