RECV_CPLT_DM,HPPN_PNU_ADDR,HPPN_X,HPPN_Y,RECV_year,RECV_month,RECV_day,RECV_hour,cluster
2020-12-01 10:45:45,세종특별자치시 세종시 조치원읍 상리(조치원읍) 39-6,127.30461149,36.6031339,20,12,1,10,21
2020-12-01 13:07:38,세종특별자치시 세종시 부강면 부강리(행정:부강면) ,127.368902,36.522225,20,12,1,13,4
2020-12-01 21:00:31,세종특별자치시 세종시 보람동(행정:보람동) 622-1,127.29327,36.4822,20,12,1,21,23
2020-12-04 01:17:57,세종특별자치시 세종시 나성동(새롬동) 721,127.262514,36.480017,20,12,4,1,44
2020-12-04 01:16:44,세종특별자치시 세종시 나성동(행정:새롬동) 722,127.262247,36.479612,20,12,4,1,44
2020-12-02 17:49:49,세종특별자치시 세종시 도담동(도담동) 848,127.25944511,36.51239063,20,12,2,17,35
2020-12-02 16:36:53,세종특별자치시 세종시 가람동(한솔동) 116,127.25277013,36.47165837,20,12,2,16,13
2020-12-02 16:42:32,세종특별자치시 세종시 가람동(한솔동) 116,127.25277013,36.47165837,20,12,2,16,13
2020-12-02 15:38:40,세종특별자치시 나성동 361-88 ,127.25604,36.49214,20,12,2,15,43
2020-12-02 14:32:48,세종특별자치시 세종시 보람동(행정:보람동) 628-5,127.288965,36.477368,20,12,2,14,23
2020-12-03 15:02:59,세종특별자치시 세종시 도담동(도담동) 219 ,127.26016975,36.51287004,20,12,3,15,35
2020-12-03 15:56:54,세종특별자치시 세종시 다정동(새롬동) 382-8,127.24032072,36.49889147,20,12,3,15,40
2020-12-03 16:02:55,세종특별자치시 세종시 다정동(새롬동) 382-8,127.24032072,36.49889147,20,12,3,16,40
2020-12-03 20:55:36,세종특별자치시 세종시 다정동(새롬동) 7-4,127.2483333,36.4944444,20,12,3,20,37
2020-12-03 20:15:25,세종특별자치시 조치원읍 서창리 50-15 ,127.29296,36.61264,20,12,3,20,8
2020-12-03 11:26:25,세종특별자치시 조치원읍 신흥리 130-1 ,127.29164,36.59154,20,12,3,11,16
2020-12-02 08:53:24,세종특별자치시 세종시 도담동(행정:도담동) ,127.258607,36.514502,20,12,2,8,35
2020-12-04 21:18:10,세종특별자치시 세종시 한솔동(한솔동) 984,127.25190369,36.47552271,20,12,4,21,13
2020-12-05 04:36:12,세종특별자치시 세종시 대평동(행정:대평동) 484-20,127.27453846,36.46727382,20,12,5,4,27
2020-12-05 04:39:55,세종특별자치시 세종시 대평동(행정:대평동) 484-20,127.27453846,36.46727382,20,12,5,4,27
2020-12-04 15:35:26,세종특별자치시 세종시 부강면 부강리(행정:부강면) 119,127.369561,36.528852,20,12,4,15,4
2020-12-05 19:08:31,세종특별자치시 세종시 종촌동(행정:종촌동) 690,127.247469,36.500698,20,12,5,19,38
2020-12-05 16:12:13,세종특별자치시 세종시 아름동(행정:아름동) ,127.248802,36.527806,20,12,5,16,17
2020-12-05 17:21:23,세종특별자치시 세종시 부강면 부강리(행정:부강면) 430,127.366041,36.529251,20,12,5,17,4
2020-12-05 15:20:47,세종특별자치시 세종시 아름동(행정:아름동) ,127.248802,36.527806,20,12,5,15,17
2020-12-05 21:54:19,세종특별자치시 세종시 연서면 월하리(행정:연서면) 533-4,127.290631,36.574496,20,12,5,21,11
2020-12-05 21:10:53,세종특별자치시 세종시 연서면 월하리(행정:연서면) 533-4,127.290631,36.574496,20,12,5,21,11
2020-12-05 07:38:02,세종특별자치시 세종시 가람동(한솔동) 791-9,127.25251366,36.47145933,20,12,5,7,13
2020-12-05 11:48:09,세종특별자치시 세종시 나성동(행정:새롬동) 741,127.2567871,36.48851449,20,12,5,11,43
2020-12-04 11:59:37,세종특별자치시 세종시 금남면 용포리(행정:금남면) 213-1,127.281216,36.468869,20,12,4,11,26
2020-12-04 10:54:45,세종특별자치시 세종시 보람동(보람동) 630-4,127.29010072,36.479179,20,12,4,10,23
2020-12-08 11:40:20,세종특별자치시 한솔동 1234 ,127.2532,36.47163,20,12,8,11,13
2020-12-08 15:32:48,세종특별자치시 세종시 금남면 두만리(금남면) 195-2,127.28631,36.433797,20,12,8,15,6
2020-12-08 15:33:31,세종특별자치시 세종시 금남면 두만리(금남면) 402-11,127.285838,36.434065,20,12,8,15,6
2020-12-08 14:46:40,세종특별자치시 세종시 전의면 신방리(전의면) 62,127.20489979,36.6731894,20,12,8,14,0
2020-12-08 12:16:32,세종특별자치시 세종시 금남면 용포리(행정:금남면) ,127.280577,36.467591,20,12,8,12,26
2020-12-07 07:01:21,세종특별자치시 세종시 대평동(대평동) 484-2,127.275367,36.466638,20,12,7,7,27
2020-12-07 12:11:55,세종특별자치시 전의면 읍내리 315-8 ,127.19796,36.67844,20,12,7,12,0
2020-12-07 08:36:05,세종특별자치시 세종시 가람동(한솔동) 791-9,127.25212143,36.47097934,20,12,7,8,13
2020-12-07 12:48:54,세종특별자치시 세종시 보람동(행정:보람동) 628-4,127.289132,36.47784,20,12,7,12,23
2020-12-07 10:19:00,세종특별자치시 세종시 장군면 봉안리(행정:장군면) 380-1,127.221452,36.499755,20,12,7,10,29
2020-12-06 20:31:37,세종특별자치시 세종시 한솔동(행정:한솔동) 977,127.25529438,36.4743184,20,12,6,20,13
2020-12-07 16:58:25,세종특별자치시 부강면 부강리 1146-1 ,127.36917,36.52892,20,12,7,16,4
2020-12-07 17:44:00,세종특별자치시 세종시 보람동(행정:보람동) 629-6,127.29083254,36.47715145,20,12,7,17,23
2020-12-06 08:48:02,세종특별자치시 세종시 조치원읍 죽림리(행정:조치원읍) 208-2,127.297722,36.59078,20,12,6,8,16
2020-12-08 17:38:45,세종특별자치시 세종시 조치원읍 침산리(행정:조치원읍) 262-8,127.292443,36.603589,20,12,8,17,18
2020-12-08 21:40:24,세종특별자치시 세종시 합강동(소담동) 10-8,127.3288889,36.5322222,20,12,8,21,5
2020-12-08 16:03:15,세종특별자치시 세종시 금남면 두만리(금남면) 195-4,127.28631,36.433507,20,12,8,16,6
2020-12-11 09:23:16,세종특별자치시 세종시 소담동(소담동) 32-41,127.30538464,36.48188081,20,12,11,9,20
2020-12-11 13:18:47,세종특별자치시 세종시 나성동(행정:새롬동) 800,127.258996,36.489839,20,12,11,13,43
2020-12-11 09:23:16,세종특별자치시 세종시 소담동(행정:소담동) 32-41,127.305614,36.482186,20,12,11,9,20
2020-12-11 13:39:23,세종특별자치시 세종시 나성동(행정:새롬동) 800,127.258996,36.489839,20,12,11,13,43
2020-12-09 21:37:22,세종특별자치시 세종시 조치원읍 신안리(행정:조치원읍) 389-8,127.291158,36.613964,20,12,9,21,8
2020-12-10 08:35:27,세종특별자치시 세종시 합강동(소담동) 10-32,127.32330954,36.52932482,20,12,10,8,5
2020-12-09 16:42:57,세종특별자치시 세종시 조치원읍 침산리(행정:조치원읍) 260-8,127.29336399,36.60375263,20,12,9,16,18
2020-12-09 19:15:46,세종특별자치시 세종시 보람동(행정:보람동) ,127.287354,36.478535,20,12,9,19,23
2020-12-09 18:03:13,세종특별자치시 세종시 대평동(대평동) 499-2,127.276016,36.467863,20,12,9,18,27
2020-12-10 18:07:55,세종특별자치시 세종시 나성동(행정:새롬동) 361-115,127.258718,36.491089,20,12,10,18,43
2020-12-10 23:00:55,세종특별자치시 세종시 연동면 명학리(연동면) 641-21,127.33115673,36.53392911,20,12,10,23,5
2020-12-10 17:33:08,세종특별자치시 세종시 나성동(행정:새롬동) 361-22,127.258162,36.491033,20,12,10,17,43
2020-12-09 14:54:40,세종특별자치시 세종시 조치원읍 상리(행정:조치원읍) ,127.301158,36.601632,20,12,9,14,25
2020-12-12 10:54:52,세종특별자치시 세종시 대평동(행정:대평동) 484-20,127.27453846,36.46727382,20,12,12,10,27
2020-12-12 12:00:52,세종특별자치시 세종시 반곡동(소담동) 산154,127.30745452,36.48197618,20,12,12,12,20
2020-12-11 20:21:09,세종특별자치시 세종시 조치원읍 상리(조치원읍) 37-4,127.30479263,36.60303391,20,12,11,20,21
2020-12-11 20:36:07,세종특별자치시 세종시 어진동(도담동) 596,127.26268915,36.4969269,20,12,11,20,36
2020-12-12 21:18:31,세종특별자치시 세종시 조치원읍 침산리(행정:조치원읍) 257-7,127.29341,36.60494,20,12,12,21,18
2020-12-12 19:13:39,세종특별자치시 세종시 소정면 운당리(소정면) 63-1,127.154281,36.696042,20,12,12,19,1
2020-12-11 17:01:07,세종특별자치시 세종시 어진동(도담동) 666,127.2597222,36.4977778,20,12,11,17,42
2020-12-11 15:27:49,세종특별자치시 세종시 소담동(행정:소담동) 32-41,127.30534801,36.48187546,20,12,11,15,20
2020-12-11 18:40:44,세종특별자치시 세종시 도담동(도담동) 400,127.26122618,36.52502418,20,12,11,18,14
2020-12-14 19:32:03,세종특별자치시 세종시 조치원읍 침산리(행정:조치원읍) 252-5,127.292158,36.605242,20,12,14,19,18
2020-12-14 09:18:08,세종특별자치시 세종시 도담동(도담동) 407-3,127.2568439,36.5186504,20,12,14,9,35
2020-12-14 07:28:55,세종특별자치시 세종시 도담동(도담동) 408,127.25931042,36.51881964,20,12,14,7,35
2020-12-14 08:28:53,세종특별자치시 세종시 아름동(아름동) 1276,127.250819,36.511656,20,12,14,8,33
2020-12-15 13:47:44,세종특별자치시 세종시 부강면 부강리(부강면) 439-20,127.36694813,36.52888656,20,12,15,13,4
2020-12-15 17:47:17,세종특별자치시 세종시 소담동(행정:소담동) ,127.308158,36.48009,20,12,15,17,20
2020-12-14 22:20:44,세종특별자치시 세종시 소담동(소담동) 32-100,127.30801767,36.48010319,20,12,14,22,20
2020-12-18 14:30:31,세종특별자치시 세종시 소담동(소담동) 32-93,127.30620146,36.48005962,20,12,18,14,20
2020-12-18 09:53:26,세종특별자치시 세종시 나성동(행정:새롬동) 720,127.261814,36.480236,20,12,18,9,44
2020-12-18 14:19:13,세종특별자치시 세종시 도담동(도담동) 257 ,127.25847354,36.51558393,20,12,18,14,35
2020-12-18 14:12:58,세종특별자치시 세종시 전동면 석곡리(전동면) 376-4,127.258608,36.657858,20,12,18,14,3
2020-12-18 11:35:25,세종특별자치시 세종시 금남면 장재리(금남면) 214-2,127.3093665,36.47867661,20,12,18,11,20
2020-12-17 07:49:40,세종특별자치시 세종시 조치원읍 원리(행정:조치원읍) 1-16,127.30063,36.602326,20,12,17,7,25
2020-12-17 11:04:19,세종특별자치시 세종시 조치원읍 신흥리(조치원읍) 129-8,127.29159356,36.59158884,20,12,17,11,16
2020-12-17 06:26:52,세종특별자치시 세종시 고운동(행정:고운동) 1902,127.23586,36.500248,20,12,17,6,39
2020-12-16 16:11:02,세종특별자치시 세종시 장군면 도계리(행정:장군면) 154-1,127.205724,36.49747,20,12,16,16,7
2020-12-16 16:06:28,세종특별자치시 세종시 장군면 도계리(행정:장군면) 154-1,127.205724,36.49747,20,12,16,16,7
2020-12-18 08:53:57,세종특별자치시 세종시 어진동(도담동) 663,127.25832939,36.4977783,20,12,18,8,42
2020-12-17 16:23:41,세종특별자치시 세종시 연기면 연기리(행정:연기면) 512-1,127.27774999,36.55268333,20,12,17,16,9
2020-12-17 15:52:25,세종특별자치시 세종시 조치원읍 신흥리(조치원읍) 137-6,127.29149822,36.59151616,20,12,17,15,16
2020-12-16 11:46:24,세종특별자치시 세종시 어진동(행정:도담동) 671,127.262165,36.495097,20,12,16,11,36
2020-12-16 11:46:24,세종특별자치시 세종시 어진동(행정:도담동) 671,127.262165,36.495097,20,12,16,11,36
2020-12-16 11:17:12,세종특별자치시 세종시 도담동(행정:도담동) ,127.261412,36.525251,20,12,16,11,14
2020-12-16 08:59:53,세종특별자치시 세종시 고운동(행정:고운동) 1902,127.23586,36.500248,20,12,16,8,39
2020-12-19 14:10:16,세종특별자치시 세종시 도담동(도담동) 257 ,127.25847354,36.51558393,20,12,19,14,35
2020-12-19 12:05:38,세종특별자치시 세종시 장군면 봉안리(행정:장군면) 377-13,127.221705,36.49954,20,12,19,12,29
2020-12-19 13:58:37,세종특별자치시 세종시 연서면 월하리(행정:연서면) 654-6,127.29168328,36.57546277,20,12,19,13,11
2020-12-18 21:23:24,세종특별자치시 세종시 나성동(새롬동) 735,127.255963,36.491008,20,12,18,21,43
2020-12-20 10:22:01,세종특별자치시 세종시 한솔동(행정:한솔동) 1229,127.25258533,36.47558446,20,12,20,10,13
2020-12-20 09:47:28,세종특별자치시 세종시 소정면 운당리(소정면) 29-4,127.15295076,36.69767261,20,12,20,9,1
2020-12-18 18:39:55,세종특별자치시 세종시 아름동(행정:아름동) 1352,127.247996,36.511475,20,12,18,18,33
2020-12-18 18:42:05,세종특별자치시 세종시 소담동(소담동) 32-100,127.30784897,36.48022708,20,12,18,18,20
2020-12-18 16:10:47,세종특별자치시 세종시 조치원읍 상리(조치원읍) 26-4,127.303716,36.602664,20,12,18,16,21
2020-12-21 11:31:01,세종특별자치시 세종시 조치원읍 평리(조치원읍) 84-1,127.303866,36.603987,20,12,21,11,21
2020-12-21 11:44:30,세종특별자치시 세종시 대평동(행정:대평동) 269-14,127.27376821,36.46918043,20,12,21,11,27
2020-12-21 08:12:17,세종특별자치시 세종시 합강동(소담동) 177-5,127.32359962,36.52896681,20,12,21,8,5
2020-12-21 10:45:23,세종특별자치시 세종시 아름동(아름동) 1350,127.24706413,36.51166818,20,12,21,10,33
2020-12-21 13:07:03,세종특별자치시 세종시 조치원읍 평리(행정:조치원읍) 84-1,127.303787,36.603901,20,12,21,13,21
2020-12-21 10:46:34,세종특별자치시 세종시 아름동(아름동) 1351,127.24727793,36.51152814,20,12,21,10,33
2020-12-22 18:48:58,세종특별자치시 세종시 아름동(아름동) 1352,127.24766119,36.5117992,20,12,22,18,33
2020-12-21 21:40:00,세종특별자치시 세종시 다정동(새롬동) 306,127.24466613,36.49601012,20,12,21,21,37
2020-12-21 21:45:59,세종특별자치시 세종시 다정동(새롬동) 306,127.24478209,36.49595747,20,12,21,21,37
2020-12-22 11:26:17,세종특별자치시 세종시 소정면 운당리(소정면) 32-5,127.152613,36.697923,20,12,22,11,1
2020-12-22 15:56:12,세종특별자치시 세종시 아름동(행정:아름동) 1352,127.247996,36.511475,20,12,22,15,33
