,RECV_CPLT_DM,EVT_CL_CD,HPPN_PNU_ADDR,HPPN_X,HPPN_Y,RECV_year,RECV_month,RECV_day,RECV_hour,RECV_minute,RECV_second,total_address,city,cluster
1,20/12/01 10:45:45,401,세종특별자치시 세종시 조치원읍 상리(조치원읍) 39-6,127.30461149,36.6031339,20,12,1,10,45,45,"허만석로, 조치원읍, 세종, 30025, 대한민국",세종특별자치시,21
2,20/12/01 13:07:38,401,세종특별자치시 세종시 부강면 부강리(행정:부강면) ,127.368902,36.522225,20,12,1,13,7,38,"부강금호로, 부강면, 세종, 30086, 대한민국",세종특별자치시,4
7,20/12/01 21:00:31,401,세종특별자치시 세종시 보람동(행정:보람동) 622-1,127.29327,36.4822,20,12,1,21,0,31,"1003동, 210, 시청대로, 보람동, 호탄리, 세종, 30150, 대한민국",세종특별자치시,23
10,20/12/04 01:17:57,401,세종특별자치시 세종시 나성동(새롬동) 721,127.262514,36.480017,20,12,4,1,17,57,"세종메디피아, 165, 한누리대로, 나성동, 새롬동, 세종, 30130, 대한민국",세종특별자치시,44
11,20/12/04 01:16:44,401,세종특별자치시 세종시 나성동(행정:새롬동) 722,127.262247,36.479612,20,12,4,1,16,44,"NK리움힐 상가, 161, 한누리대로, 나성동, 새롬동, 세종, 30130, 대한민국",세종특별자치시,44
13,20/12/02 17:49:49,401,세종특별자치시 세종시 도담동(도담동) 848,127.25944511,36.51239063,20,12,2,17,49,49,"한누리대로, 어진동, 도담동, 세종, 30098, 대한민국",세종특별자치시,35
14,20/12/02 16:36:53,401,세종특별자치시 세종시 가람동(한솔동) 116,127.25277013,36.47165837,20,12,2,16,36,53,"26-16, 나리로, 한솔동, 세종, 30130, 대한민국",세종특별자치시,13
15,20/12/02 16:42:32,401,세종특별자치시 세종시 가람동(한솔동) 116,127.25277013,36.47165837,20,12,2,16,42,32,"26-16, 나리로, 한솔동, 세종, 30130, 대한민국",세종특별자치시,13
20,20/12/02 15:38:40,401,세종특별자치시 나성동 361-88 ,127.25604,36.49214,20,12,2,15,38,40,"모닝시티2, 311, 한누리대로, 나성동, 새롬동, 세종, 30123, 대한민국",세종특별자치시,43
25,20/12/02 14:32:48,401,세종특별자치시 세종시 보람동(행정:보람동) 628-5,127.288965,36.477368,20,12,2,14,32,48,"세종스마트허브3, 19, 호려울로, 보람동, 신촌리, 세종, 30151, 대한민국",세종특별자치시,23
26,20/12/03 15:02:59,401,세종특별자치시 세종시 도담동(도담동) 219 ,127.26016975,36.51287004,20,12,3,15,2,59,"1108동, 보듬4로, 도담동, 세종, 30098, 대한민국",세종특별자치시,35
28,20/12/03 15:56:54,401,세종특별자치시 세종시 다정동(새롬동) 382-8,127.24032072,36.49889147,20,12,3,15,56,54,"주추지하차도, 아름동, 세종, 30101, 대한민국",세종특별자치시,40
29,20/12/03 16:02:55,401,세종특별자치시 세종시 다정동(새롬동) 382-8,127.24032072,36.49889147,20,12,3,16,2,55,"주추지하차도, 아름동, 세종, 30101, 대한민국",세종특별자치시,40
32,20/12/03 20:55:36,401,세종특별자치시 세종시 다정동(새롬동) 7-4,127.2483333,36.4944444,20,12,3,20,55,36,"충만치킨, 다정남2로, 다정동, 세종, 30124, 대한민국",세종특별자치시,37
37,20/12/03 20:15:25,401,세종특별자치시 조치원읍 서창리 50-15 ,127.29296,36.61264,20,12,3,20,15,25,"세종로, 조치원읍, 세종, 30018, 대한민국",세종특별자치시,8
39,20/12/03 11:26:25,401,세종특별자치시 조치원읍 신흥리 130-1 ,127.29164,36.59154,20,12,3,11,26,25,"세종로, 조치원읍, 세종, 30033, 대한민국",세종특별자치시,16
