,0
0,0
1,0
2,1
3,0
4,1
5,1
6,0
7,0
8,0
9,1
10,0
11,1
12,1
13,1
14,0
15,0
16,0
17,0
18,0
19,1
20,1
21,0
22,0
23,0
24,0
25,0
26,1
27,1
28,0
29,0
30,1
31,0
32,1
33,1
34,0
35,1
36,0
37,1
38,1
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,1
47,0
48,1
49,1
50,0
51,0
52,0
53,1
54,1
55,1
56,0
57,1
58,1
59,1
60,0
61,1
62,0
63,0
64,0
65,0
66,1
67,1
68,0
69,0
70,0
71,1
72,1
73,0
74,0
75,0
76,1
77,0
78,1
79,0
80,1
81,1
82,1
83,0
84,1
85,0
86,1
87,0
88,1
89,0
90,0
91,0
92,0
93,1
94,1
95,1
96,1
97,0
98,1
99,1
100,1
101,0
102,0
103,1
104,1
105,1
106,1
107,1
108,1
109,0
110,1
111,1
112,1
113,1
114,1
115,0
116,1
117,1
118,0
119,1
120,1
121,0
122,1
123,1
124,1
125,0
126,1
127,1
128,0
129,0
130,1
131,0
132,0
133,0
134,1
135,0
136,0
137,1
138,1
139,0
140,0
141,0
142,0
143,1
144,1
145,1
146,0
147,1
148,0
149,0
150,0
151,0
152,1
153,1
154,1
155,0
156,1
157,0
158,1
159,1
160,1
161,0
162,1
163,1
164,1
165,0
166,1
167,0
168,1
169,0
170,1
171,0
172,1
173,0
174,0
175,0
176,1
177,0
178,0
179,0
180,1
181,1
182,0
183,1
184,0
185,1
186,1
187,1
188,1
189,1
190,0
191,1
192,1
193,0
194,0
195,0
196,1
197,1
198,1
199,0
200,1
201,0
202,1
203,0
204,1
205,1
206,1
207,0
208,0
209,0
210,0
211,1
212,1
213,0
214,0
215,1
216,1
217,1
218,0
219,1
220,0
221,1
222,0
223,1
224,0
225,0
226,1
227,0
228,0
229,1
230,0
231,1
232,1
233,0
234,1
235,1
236,1
237,1
238,0
239,1
240,1
241,1
242,0
243,1
244,0
245,0
246,1
247,0
248,1
249,1
250,0
251,1
252,1
253,1
254,0
255,1
256,1
257,1
258,1
259,1
260,0
261,0
262,1
263,1
264,0
265,1
266,1
267,1
268,1
269,0
270,0
271,1
272,1
273,0
274,0
275,1
276,1
277,1
278,0
279,0
280,1
281,0
282,0
283,0
284,0
285,0
286,1
287,0
288,0
289,1
290,0
291,1
292,1
293,1
294,0
295,0
296,0
297,0
298,1
299,0
300,1
301,0
302,1
303,0
304,0
305,0
306,1
307,0
308,0
309,1
310,1
311,0
312,0
313,0
314,1
315,1
316,1
317,0
318,1
319,1
320,1
321,1
322,0
323,1
324,0
325,0
326,1
327,0
328,0
329,1
330,1
331,1
332,0
333,0
334,0
335,0
336,0
337,1
338,0
339,0
340,0
341,1
342,1
343,1
344,0
345,0
346,1
347,0
348,0
349,1
350,0
351,1
352,1
353,1
354,1
355,0
356,0
357,1
358,0
359,1
360,1
361,1
362,1
363,1
364,1
365,0
366,0
367,0
368,0
369,1
370,1
371,1
372,0
373,1
374,1
375,0
376,0
377,0
378,1
379,0
380,1
381,1
382,1
383,0
384,0
385,0
386,1
387,1
388,1
389,0
390,1
391,1
392,0
393,0
394,1
395,0
396,1
397,1
398,1
399,1
400,1
401,0
402,1
403,0
404,0
405,0
406,1
407,1
408,0
409,0
410,0
411,1
412,1
413,1
414,1
415,0
416,1
417,0
418,1
419,1
420,0
421,1
422,0
423,1
424,1
425,1
426,1
427,0
428,0
429,1
430,0
431,1
432,1
433,0
434,0
435,1
436,0
437,0
438,1
439,1
440,1
441,0
442,0
443,0
444,1
445,0
446,1
447,0
448,1
449,0
450,1
451,1
452,1
453,0
454,1
455,0
456,1
457,0
458,0
459,1
460,1
461,0
462,0
463,0
464,1
465,0
466,1
467,0
468,1
469,1
470,1
471,1
472,0
473,1
474,0
475,0
476,0
477,1
478,0
479,1
480,0
481,1
482,0
483,0
484,0
485,1
486,0
487,0
488,0
489,0
490,0
491,1
492,0
493,0
494,1
495,1
496,0
497,0
498,1
499,0
500,0
501,0
502,0
503,1
504,0
505,0
506,1
507,1
508,1
509,1
510,1
511,0
512,0
513,0
514,1
515,1
516,1
517,1
518,1
519,1
520,1
521,0
522,0
523,0
524,1
525,0
526,0
527,1
528,1
529,0
530,0
531,0
532,0
