,0
0,0
1,1
2,1
3,0
4,0
5,1
6,1
7,0
8,1
9,0
10,0
11,0
12,1
13,1
14,1
15,0
16,0
17,1
18,1
19,1
20,0
21,1
22,0
23,0
24,0
25,1
26,0
27,0
28,0
29,1
30,0
31,0
32,1
33,0
34,0
35,1
36,1
37,1
38,0
39,0
40,1
41,1
42,0
43,0
44,0
45,1
46,1
47,0
48,0
49,0
50,1
51,0
52,0
53,0
54,1
55,0
56,0
57,0
58,0
59,0
60,1
61,0
62,0
63,1
64,1
65,1
66,0
67,1
68,0
69,0
70,0
71,0
72,0
73,1
74,0
75,0
76,1
77,0
78,0
79,0
80,0
81,1
82,1
83,1
84,0
85,1
86,1
87,0
88,0
89,0
90,1
91,0
92,0
93,1
94,0
95,1
96,1
97,1
98,0
99,1
100,1
101,1
102,0
103,1
104,0
105,0
106,0
107,0
108,0
109,0
110,1
111,1
112,0
113,0
114,0
115,0
116,1
117,0
118,1
119,0
120,0
121,1
122,0
123,1
124,0
125,0
126,1
127,0
128,0
129,0
130,1
131,0
132,1
133,1
134,1
135,1
136,0
137,0
138,0
139,1
140,0
141,1
142,0
143,1
144,1
145,1
146,1
147,0
148,0
149,0
150,1
151,1
152,0
153,1
154,0
155,1
156,1
157,1
158,0
159,0
160,0
161,0
162,0
163,0
164,1
165,1
166,1
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,1
175,1
176,1
177,0
178,0
179,0
180,1
181,1
182,1
183,1
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,1
197,0
198,0
199,0
200,0
201,0
202,1
203,0
204,1
205,1
206,1
207,0
208,1
209,1
210,0
211,1
212,1
213,1
214,0
215,1
216,1
217,1
218,0
219,0
220,0
221,0
222,1
223,1
224,1
225,1
226,0
227,1
228,1
229,1
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,1
240,0
241,1
242,0
243,0
244,0
245,0
246,0
247,1
248,0
249,0
250,1
251,1
252,0
253,0
254,0
255,1
256,1
257,1
258,1
259,1
260,0
261,0
262,1
263,0
264,1
265,0
266,0
267,0
268,0
269,1
270,1
271,0
272,0
273,0
274,1
275,1
276,0
277,0
278,0
279,1
280,0
281,0
282,0
283,1
284,0
285,1
286,0
287,0
288,1
289,0
290,1
291,1
292,1
293,1
294,0
295,1
296,0
297,1
298,1
299,0
300,1
301,0
302,0
303,1
304,0
305,0
306,0
307,0
308,1
309,1
310,0
311,0
312,0
313,0
314,1
315,1
316,1
317,1
318,0
319,1
320,0
321,1
322,1
323,1
324,1
325,0
326,0
327,0
328,1
329,0
330,0
331,0
332,0
333,0
334,0
335,1
336,0
337,0
338,0
339,1
340,1
341,0
342,1
343,0
344,1
345,1
346,0
347,0
348,0
349,0
350,1
351,0
352,1
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,1
361,0
362,0
363,0
364,1
365,0
366,1
367,0
368,0
369,0
370,1
371,0
372,1
373,1
374,0
375,1
376,0
377,0
378,0
379,1
380,0
381,1
382,0
383,0
384,0
385,0
386,1
387,0
388,1
389,1
390,1
391,1
392,1
393,0
394,0
395,0
396,1
397,1
398,0
399,0
400,1
401,0
402,1
403,0
404,0
405,0
406,1
407,0
408,1
409,0
410,1
411,0
412,1
413,0
414,0
415,0
416,1
417,0
418,0
419,1
420,0
421,0
422,1
423,0
424,0
425,0
426,0
427,1
428,0
429,1
430,0
431,1
432,0
433,1
434,0
435,1
436,1
437,1
438,1
439,0
440,1
441,0
442,0
443,0
444,1
445,0
446,1
447,1
448,1
449,1
450,0
451,0
452,1
453,0
454,1
455,0
456,1
457,0
458,1
459,1
460,0
461,0
462,1
463,0
464,1
465,0
466,0
467,0
468,1
469,0
470,0
471,0
472,0
473,1
474,1
475,0
476,0
477,0
478,0
479,0
480,1
481,0
482,0
483,1
484,0
485,0
486,0
487,0
488,0
489,1
490,1
491,1
492,0
493,0
494,1
495,0
496,0
497,0
498,1
499,0
500,1
501,0
502,0
503,0
504,0
505,1
506,0
507,0
508,0
509,0
510,0
511,0
512,0
513,0
514,0
515,0
516,1
517,0
518,0
519,1
520,0
521,0
522,1
523,0
524,0
525,1
526,1
527,1
528,0
529,0
530,1
531,0
532,1
533,0
534,0
535,1
536,1
537,0
538,0
539,1
540,1
541,0
542,0
543,1
544,0
545,0
546,0
547,1
548,1
549,0
550,1
551,0
552,0
553,0
554,0
555,0
556,0
557,0
558,0
559,0
560,1
561,1
562,1
563,1
564,0
565,0
566,0
567,0
568,0
569,0
570,1
571,1
572,1
573,0
574,0
575,1
576,1
577,1
578,1
579,0
580,1
581,0
582,1
583,0
584,1
585,1
586,0
587,0
588,0
589,0
590,1
591,0
592,1
593,0
594,1
595,1
596,0
597,0
598,1
599,0
600,0
601,0
602,0
603,1
604,1
605,0
606,0
607,1
608,0
609,0
610,1
611,0
612,0
613,0
614,1
615,1
616,1
617,0
618,1
619,0
620,0
621,0
622,1
623,1
624,0
625,1
626,0
627,1
628,0
629,0
630,0
631,1
632,0
633,0
634,1
635,0
636,0
637,0
638,0
639,0
640,0
641,0
642,0
643,1
644,1
645,1
646,0
647,0
648,0
649,0
650,0
651,1
652,1
653,0
654,0
655,1
656,0
657,0
658,0
659,0
660,0
661,0
662,1
663,1
664,0
665,0
666,1
667,0
668,0
669,0
670,0
671,1
672,1
673,0
674,1
675,0
676,1
677,1
678,0
679,1
680,1
681,0
682,0
683,0
684,0
685,0
686,1
687,0
688,0
689,0
690,1
691,1
692,0
693,0
694,0
695,1
696,0
697,1
698,0
699,0
700,1
701,0
702,1
703,0
704,1
705,1
706,1
707,0
708,0
709,0
710,1
711,0
712,1
713,1
714,1
715,0
716,0
717,0
718,0
719,0
720,0
721,0
722,0
723,0
724,1
725,1
726,1
727,0
728,1
729,1
730,0
731,0
732,1
733,1
734,0
735,0
736,0
737,1
738,1
739,0
740,0
741,0
742,1
743,0
744,0
745,0
746,0
747,0
748,0
749,0
750,1
751,0
752,0
753,0
754,0
755,0
756,1
757,1
758,0
759,1
760,0
761,0
762,0
763,0
764,1
765,1
766,0
767,1
768,1
769,0
770,0
771,0
772,0
773,0
774,1
775,1
776,0
777,1
778,0
779,0
780,0
781,0
782,0
783,0
784,0
785,0
786,1
787,0
788,0
789,0
790,0
791,1
792,0
793,0
794,0
795,0
796,0
797,1
798,0
799,1
800,1
801,0
802,0
803,0
804,1
805,1
806,0
807,1
808,1
809,0
810,0
811,0
812,0
813,0
814,1
815,0
816,0
817,1
818,0
819,0
820,1
821,1
822,0
823,1
824,1
825,1
826,0
827,0
828,0
829,1
830,1
831,0
832,0
833,1
834,0
835,0
836,0
837,0
838,0
839,0
840,0
841,0
842,1
843,0
844,0
845,1
846,1
847,0
848,0
849,1
850,1
851,1
852,1
853,1
854,1
855,1
856,1
857,0
858,0
859,1
860,0
861,0
862,1
863,0
864,0
865,1
866,1
867,0
868,1
869,1
870,1
871,0
872,0
873,1
874,0
875,0
876,0
877,0
878,1
879,0
880,0
881,1
882,0
883,0
884,0
885,0
886,1
887,1
888,0
889,1
890,1
891,0
892,1
893,0
894,1
895,0
896,0
897,0
898,0
899,0
900,1
