,0
0,1
1,0
2,0
3,0
4,1
5,1
6,1
7,0
8,0
9,0
10,1
11,0
12,0
13,0
14,1
15,1
16,0
17,0
18,0
19,0
20,0
21,0
22,1
23,0
24,0
25,1
26,1
27,0
28,0
29,0
30,1
31,0
32,1
33,0
34,1
35,0
36,0
37,1
38,0
39,0
40,1
41,1
42,0
43,0
44,0
45,0
46,0
47,0
48,1
49,0
50,0
51,0
52,0
53,0
54,1
55,1
56,1
57,0
58,1
59,0
60,0
61,0
62,1
63,1
64,0
65,0
66,0
67,0
68,0
69,1
70,0
71,0
72,0
73,1
74,0
75,0
76,0
77,0
78,0
79,1
80,1
81,0
82,0
83,1
84,0
85,0
86,1
87,0
88,0
89,0
90,0
91,1
92,0
93,0
94,0
95,0
96,0
97,1
98,1
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,1
109,0
110,0
111,0
112,0
113,1
114,0
115,1
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,1
125,0
126,0
127,0
128,1
129,1
130,1
131,0
132,0
133,0
134,1
135,0
136,0
137,1
138,1
139,1
140,0
141,0
142,0
143,0
144,0
145,1
146,0
147,0
148,0
149,0
150,0
151,0
152,1
153,0
154,1
155,0
156,0
157,1
158,1
159,0
160,0
161,0
162,1
163,0
164,0
165,0
166,0
167,1
168,0
169,0
170,0
171,1
172,0
173,0
174,0
175,0
176,1
177,0
178,0
179,0
180,0
181,1
182,0
183,1
184,0
185,0
186,1
187,1
188,0
189,0
190,0
191,0
192,1
193,0
194,0
195,0
196,1
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,1
205,1
206,0
207,0
208,0
209,0
210,0
211,1
212,0
213,0
214,0
215,0
216,0
217,0
218,1
219,0
220,0
221,0
222,0
223,0
224,0
225,1
