,0
0,1
1,0
2,0
3,0
4,1
5,1
6,0
7,0
8,1
9,1
10,0
11,1
12,1
13,0
14,0
15,0
16,0
17,1
18,0
19,0
20,0
21,1
22,1
23,0
24,1
25,1
26,1
27,0
28,1
29,0
30,0
31,0
32,1
33,1
34,1
35,0
36,1
37,0
38,1
39,1
40,0
41,1
42,1
43,0
44,0
45,1
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,1
54,0
55,0
56,0
57,1
58,0
59,1
60,0
61,0
62,1
63,1
64,1
65,1
66,1
67,0
68,0
69,1
70,1
71,1
72,1
73,1
74,0
75,0
76,0
77,0
78,1
79,1
80,1
81,0
82,0
83,1
84,0
85,0
86,1
87,1
88,0
89,0
90,1
91,1
92,1
93,1
94,0
95,1
96,0
97,1
98,0
99,0
100,1
101,0
102,0
103,0
104,1
105,0
106,1
107,0
108,1
109,0
110,0
111,1
112,0
113,1
114,0
115,0
116,0
117,1
118,1
119,0
120,0
121,0
122,0
123,0
124,0
125,1
126,1
127,0
128,1
129,0
130,1
131,0
132,1
133,1
134,1
135,1
136,1
137,0
138,0
139,1
140,0
141,0
142,1
143,1
144,1
145,0
146,0
147,0
148,1
149,0
150,1
151,0
152,0
153,0
154,1
155,0
156,1
157,1
158,1
159,0
160,1
161,1
162,1
163,0
164,1
165,1
166,1
167,0
168,0
169,1
170,1
171,0
172,1
173,0
174,1
175,0
176,1
177,1
178,1
179,0
180,0
181,1
182,0
183,1
184,0
185,0
186,0
187,0
188,1
189,0
190,1
191,1
192,0
193,1
194,1
195,0
196,1
197,1
198,0
199,0
200,0
201,1
202,0
203,1
204,1
205,0
206,1
207,0
208,1
209,0
210,0
211,1
212,0
213,0
214,0
215,0
216,1
217,0
218,1
219,1
220,1
221,1
222,1
223,0
224,1
225,1
226,1
227,0
228,1
229,1
230,1
231,0
232,1
233,0
234,0
235,1
236,0
237,0
238,1
239,0
240,1
241,0
242,0
243,0
244,0
245,1
246,1
247,1
248,0
249,0
250,0
251,1
252,0
253,1
254,0
255,1
256,0
257,1
258,1
259,1
260,0
261,1
262,1
263,1
264,0
265,1
266,0
267,0
268,0
269,1
270,0
271,1
272,0
273,0
274,0
275,0
276,1
277,1
278,0
279,1
280,0
281,0
282,0
283,1
284,0
285,0
286,0
287,1
288,1
289,0
290,0
291,1
292,0
293,0
294,1
295,1
296,1
297,1
298,1
299,1
300,1
301,0
302,0
303,0
304,1
305,0
306,0
307,1
308,0
309,1
310,1
311,0
312,1
313,1
314,0
315,0
316,1
317,1
318,1
319,1
320,1
321,1
322,1
323,1
324,1
325,0
326,0
327,0
328,1
329,1
330,0
331,1
332,1
333,0
334,1
335,1
336,1
337,1
338,1
339,1
340,1
341,1
342,1
343,0
344,1
345,1
346,0
347,1
348,0
349,0
350,0
351,1
352,0
353,1
354,0
355,1
356,1
357,1
358,1
359,0
360,0
361,0
362,1
363,0
364,0
365,0
366,1
367,0
368,1
369,0
370,1
371,0
372,0
373,1
374,0
375,0
376,0
377,1
378,1
379,1
380,0
381,1
382,1
383,0
384,1
385,1
386,1
387,1
388,1
389,0
390,0
391,1
392,0
393,1
394,1
395,0
396,1
397,0
398,1
399,0
400,0
401,1
402,1
403,1
404,1
405,1
406,1
407,1
408,0
409,0
410,0
411,1
412,0
413,1
414,0
415,0
416,0
417,0
418,0
419,1
420,1
421,0
422,0
423,1
424,1
425,1
426,1
427,0
428,1
429,0
430,0
431,0
432,1
433,1
434,1
435,0
436,1
437,0
438,0
439,0
440,0
441,0
442,0
443,1
444,0
445,1
446,0
447,0
448,0
449,0
450,0
451,0
452,1
453,1
454,1
455,0
456,0
457,1
458,0
459,1
460,0
461,0
462,0
463,0
464,0
465,1
466,1
467,0
468,0
469,1
470,0
471,1
472,0
473,1
474,0
475,0
476,1
477,1
478,0
479,1
480,1
481,1
482,1
483,1
484,1
485,0
486,0
487,1
488,1
489,1
490,1
491,1
492,0
493,1
494,0
495,1
496,1
497,0
498,1
499,1
500,1
501,0
502,1
503,0
504,0
505,0
506,0
507,1
508,0
509,0
510,1
511,0
512,0
513,1
514,0
515,0
516,0
517,0
518,0
519,0
520,1
521,0
522,1
523,1
524,0
525,0
526,0
527,1
528,1
529,0
530,1
531,1
532,1
533,0
534,0
535,1
536,1
537,0
538,1
539,0
540,1
541,1
542,0
543,0
544,1
545,0
546,0
547,1
548,1
549,0
550,1
551,0
552,1
553,0
554,0
555,0
556,0
557,0
558,1
559,1
560,0
561,0
562,1
563,0
564,0
565,0
566,0
567,0
568,1
569,0
570,1
571,0
572,1
573,1
574,0
575,1
576,0
577,1
578,0
579,0
580,1
581,1
582,0
583,1
584,1
585,0
586,1
587,1
588,0
589,1
590,1
591,0
592,1
593,0
594,0
595,1
596,1
597,0
598,0
599,0
600,0
601,0
602,0
603,0
604,0
605,0
606,1
607,1
608,1
609,1
610,1
611,0
612,1
613,1
614,1
615,0
616,0
617,1
618,1
619,1
620,1
621,0
622,0
623,1
624,1
625,0
626,1
627,1
628,1
629,1
630,0
631,0
632,1
633,1
634,0
635,0
636,1
637,1
638,1
639,1
640,1
641,0
642,1
643,0
644,1
645,0
646,0
647,0
648,0
649,0
650,0
651,1
652,1
653,1
654,0
655,0
656,1
657,1
658,1
659,0
660,1
661,0
662,0
663,1
664,1
665,1
666,0
667,1
668,1
669,0
670,0
671,0
672,1
673,1
674,0
675,1
676,0
677,1
678,1
679,0
680,1
681,1
682,0
683,1
684,0
685,0
686,0
687,0
688,0
689,1
690,1
691,0
692,0
693,0
694,0
695,0
696,0
697,1
698,0
699,0
700,1
701,0
702,1
703,1
704,1
705,0
706,1
707,0
708,0
709,0
710,0
711,1
712,0
713,0
714,0
715,0
716,1
717,0
718,1
719,0
720,0
721,0
722,1
723,1
724,1
725,1
726,0
727,1
728,0
729,1
730,0
731,1
732,0
733,0
734,1
735,0
736,1
737,0
738,1
739,1
740,0
741,0
742,1
743,1
744,1
745,0
746,0
747,0
748,1
749,0
750,0
751,0
752,0
753,1
754,1
755,1
756,1
757,1
758,1
759,0
760,0
761,1
762,0
763,0
764,0
765,1
766,0
767,0
768,0
769,0
770,1
771,0
772,1
773,1
774,1
775,1
776,0
777,1
778,1
779,0
780,1
781,1
782,0
783,0
784,1
785,1
786,1
787,0
788,0
789,1
790,0
791,1
792,1
793,0
794,1
795,0
796,1
797,0
798,1
799,0
800,1
801,0
802,0
803,0
804,1
805,0
806,1
807,0
808,0
809,1
810,1
811,1
812,1
813,1
814,0
815,0
816,1
817,1
818,1
819,0
820,1
821,1
822,1
823,0
824,1
825,0
826,0
827,1
828,0
829,0
830,0
831,0
832,1
833,1
834,1
835,1
836,1
837,1
838,1
839,1
840,0
841,1
842,0
843,1
844,0
845,0
846,1
847,1
848,0
849,1
850,1
851,1
852,0
853,1
854,0
855,0
856,0
857,0
858,0
859,1
860,1
861,0
862,0
863,1
864,0
865,1
866,1
867,0
868,1
869,1
870,0
871,1
872,1
873,0
874,1
875,1
876,0
877,1
878,0
879,0
880,1
881,1
882,1
883,0
884,0
885,1
886,0
887,1
888,0
889,1
890,0
891,0
892,1
893,0
894,1
895,0
896,0
897,1
898,0
899,0
900,1
901,1
902,1
903,0
904,1
905,1
906,1
907,1
908,1
909,0
910,1
911,0
912,1
913,1
914,0
915,1
916,0
917,1
918,0
919,1
920,1
921,0
922,1
923,1
924,1
925,0
926,0
927,0
928,0
929,0
930,0
931,1
932,0
933,0
934,0
935,0
936,1
937,1
938,0
939,1
940,1
941,0
942,1
943,0
944,1
945,1
946,0
947,0
948,0
949,0
950,0
951,0
952,0
953,1
954,0
955,1
956,0
957,0
958,0
959,1
960,1
961,0
962,0
963,0
964,0
965,1
966,1
967,0
968,1
969,0
970,1
971,0
972,1
973,0
974,0
975,0
976,1
977,0
978,0
979,0
980,0
981,0
982,1
983,0
984,0
985,0
986,1
987,1
988,1
989,0
990,1
991,0
992,1
993,0
994,0
995,1
996,0
997,0
998,1
999,1
1000,1
1001,0
1002,0
1003,0
1004,0
1005,0
1006,1
1007,1
1008,0
1009,0
1010,1
1011,1
1012,1
1013,0
1014,0
1015,0
1016,1
1017,1
1018,1
1019,1
1020,0
1021,0
1022,1
1023,0
1024,1
1025,0
1026,1
1027,0
1028,0
1029,0
1030,0
1031,1
1032,0
1033,1
1034,0
1035,0
1036,0
1037,0
1038,0
1039,0
1040,0
1041,1
1042,1
1043,0
1044,0
1045,1
1046,0
1047,1
1048,0
1049,0
1050,1
1051,1
1052,0
1053,1
1054,0
1055,0
1056,1
1057,0
1058,1
1059,1
1060,0
1061,1
1062,1
1063,1
1064,0
1065,1
1066,1
1067,0
1068,1
1069,0
1070,0
1071,0
1072,1
1073,1
1074,0
1075,0
1076,1
1077,1
1078,0
1079,0
1080,1
1081,0
1082,0
1083,0
1084,1
1085,1
1086,1
1087,0
1088,1
1089,0
1090,1
1091,0
1092,1
1093,0
1094,0
1095,0
1096,0
1097,1
1098,0
1099,1
1100,1
1101,1
1102,0
1103,1
1104,1
1105,1
1106,0
1107,1
1108,1
1109,0
1110,1
1111,1
1112,0
1113,1
1114,0
1115,0
1116,0
1117,1
1118,1
1119,0
1120,1
1121,1
1122,1
1123,0
1124,0
1125,1
1126,1
1127,0
1128,1
1129,1
1130,1
1131,1
1132,1
1133,1
1134,1
1135,1
1136,0
1137,0
1138,0
1139,0
1140,1
1141,1
1142,0
1143,1
1144,0
1145,1
1146,0
1147,1
1148,1
1149,1
1150,1
1151,0
1152,1
1153,0
1154,1
1155,0
1156,1
1157,1
1158,0
1159,0
1160,0
1161,1
1162,0
1163,1
1164,1
1165,1
1166,0
1167,0
1168,1
1169,0
1170,0
1171,0
1172,1
1173,1
1174,0
1175,0
1176,1
1177,0
1178,1
1179,0
1180,1
1181,1
1182,1
1183,0
1184,1
1185,1
1186,1
1187,0
1188,0
1189,0
1190,0
1191,0
1192,1
1193,1
1194,0
1195,0
1196,1
1197,1
1198,0
1199,0
1200,0
1201,1
1202,0
1203,0
1204,1
1205,0
1206,1
1207,1
1208,0
1209,1
1210,1
1211,0
1212,0
1213,1
1214,0
1215,1
1216,0
1217,1
1218,0
1219,0
1220,0
1221,0
1222,0
1223,1
1224,0
1225,1
1226,1
1227,0
1228,1
1229,1
1230,1
