,0
0,1
1,1
2,0
3,1
4,0
5,0
6,0
7,1
8,1
9,1
10,1
11,0
12,1
13,1
14,1
15,1
16,1
17,1
18,0
19,0
20,1
21,0
22,0
23,1
24,0
25,0
26,1
27,1
28,1
29,1
30,1
31,0
32,0
33,1
34,0
35,1
36,1
37,1
38,1
39,0
40,0
41,0
42,1
43,1
44,0
45,0
46,1
47,1
48,0
49,0
50,0
51,1
52,0
53,0
54,1
55,0
56,0
57,1
58,0
59,1
60,0
61,0
62,0
63,1
64,0
65,0
66,0
67,0
68,1
69,0
70,1
71,1
72,1
73,0
74,1
75,0
76,0
77,1
78,1
79,1
80,0
81,0
82,1
83,0
84,1
85,1
86,1
87,0
88,1
89,0
90,0
91,1
92,0
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,1
101,0
102,0
103,0
104,0
105,0
106,0
107,1
108,0
109,0
110,1
111,1
112,1
113,0
114,0
115,1
116,1
117,0
118,0
119,1
120,1
121,0
122,1
123,0
124,0
125,0
126,0
127,1
128,0
129,0
130,0
131,0
132,0
133,1
134,0
135,1
136,0
137,1
138,0
139,0
140,0
141,0
142,1
143,0
144,1
145,0
146,1
147,1
148,0
149,1
150,1
151,1
152,0
153,1
154,1
155,0
156,1
157,1
158,1
159,1
160,0
161,0
162,1
163,0
164,0
165,1
166,1
167,0
168,0
169,0
170,1
171,0
172,1
173,0
174,0
175,0
176,0
177,0
178,1
179,0
180,1
181,1
182,1
183,0
184,0
185,1
186,1
187,0
188,0
189,0
190,0
191,1
192,0
193,1
194,0
195,0
196,1
197,1
198,1
199,0
200,1
201,0
202,0
203,0
204,1
205,1
206,1
207,0
208,1
209,0
210,0
211,0
212,1
213,0
214,1
215,1
216,0
217,0
218,1
219,1
220,0
221,1
222,1
223,1
224,1
225,1
226,1
227,1
228,1
229,0
230,0
231,0
232,1
233,0
234,1
235,0
236,0
237,0
238,1
239,1
240,1
241,1
242,0
243,1
244,1
245,0
246,1
247,0
248,0
249,1
250,0
251,0
252,1
253,0
254,1
255,1
256,0
257,1
258,1
259,0
260,1
261,0
262,0
263,0
264,1
265,0
266,1
267,0
268,0
269,1
270,1
271,0
272,0
273,1
274,0
275,0
276,1
277,0
278,1
279,1
280,0
281,1
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,1
292,0
293,0
294,0
295,1
296,0
297,1
298,1
299,0
300,1
301,0
302,0
303,1
304,0
305,0
306,1
307,0
308,1
309,0
310,1
311,0
312,1
313,0
314,0
315,0
316,0
317,1
318,1
319,1
320,0
321,1
322,1
323,1
324,1
325,1
326,1
327,0
328,0
329,1
330,1
331,0
332,1
333,0
334,1
335,1
336,1
337,1
338,1
339,0
340,0
341,0
342,1
343,0
344,0
345,0
346,0
347,1
348,0
349,1
350,1
351,0
352,1
353,1
354,1
355,1
356,0
357,1
358,0
359,1
360,1
361,0
362,0
363,0
364,1
365,1
366,1
367,0
368,1
369,1
370,0
371,0
372,0
373,1
374,1
375,1
376,0
377,1
378,0
379,0
380,0
381,1
382,1
383,1
384,1
385,1
386,0
387,0
388,0
389,0
390,1
391,1
392,1
393,1
394,1
395,1
396,1
397,1
398,0
399,0
400,1
401,1
402,0
403,1
404,0
405,0
406,1
407,1
408,0
409,0
410,0
411,0
412,1
413,0
414,1
415,1
416,1
417,1
418,1
419,1
420,1
421,0
422,0
423,0
424,0
425,1
426,1
427,0
428,1
429,1
430,1
431,1
432,0
433,1
434,0
435,1
436,1
437,1
438,0
439,0
440,1
441,0
442,1
443,1
444,0
445,0
446,1
447,0
448,1
449,0
450,0
451,1
452,0
453,0
454,0
455,0
456,1
457,0
458,1
459,0
460,1
461,1
462,1
463,0
464,0
465,0
466,0
467,1
468,1
469,0
470,0
471,1
472,1
473,0
474,0
475,0
476,0
477,0
478,0
479,1
480,0
481,0
482,0
483,0
484,0
485,1
486,1
487,0
488,1
489,0
490,1
491,1
492,0
493,1
494,0
495,1
496,1
497,0
498,0
499,1
500,1
501,1
502,0
503,1
504,0
505,1
506,1
507,1
508,0
509,0
510,0
511,1
512,0
513,0
514,1
515,0
516,1
517,1
518,1
519,1
520,0
521,1
522,0
523,0
524,0
525,1
526,0
527,1
528,1
529,0
530,1
531,0
532,0
533,0
534,0
535,1
536,1
537,0
538,1
539,1
540,1
541,0
542,0
543,0
544,1
545,0
546,0
547,0
548,1
549,1
550,1
551,0
552,0
553,0
554,0
555,1
556,0
557,0
558,0
559,1
560,0
561,0
562,1
563,0
564,0
565,0
566,1
567,1
568,1
569,1
570,1
571,1
572,0
573,1
574,0
575,1
576,0
577,0
578,1
579,1
580,1
581,1
582,0
583,0
584,1
585,1
586,0
587,0
588,1
589,0
590,0
591,1
592,0
593,0
594,0
595,0
596,0
597,0
598,0
599,0
600,0
601,0
602,1
603,1
604,1
605,0
606,1
607,1
608,1
609,0
610,1
611,1
612,1
613,0
614,1
615,1
616,1
617,1
618,0
619,1
620,0
621,1
622,1
623,1
624,0
625,1
626,0
627,0
628,1
629,0
630,1
631,1
632,0
633,1
634,1
635,0
636,1
637,1
638,0
639,0
640,0
641,1
642,1
643,1
644,1
645,0
646,1
647,1
648,0
649,1
650,1
651,0
652,0
653,1
654,0
655,1
656,1
657,0
658,1
659,0
660,0
661,0
662,1
663,0
664,0
665,0
666,1
667,1
668,1
669,1
670,1
671,1
672,1
673,0
674,0
675,1
676,1
677,0
678,1
679,1
680,0
681,1
682,0
683,1
684,0
685,0
686,1
687,0
688,0
689,1
690,1
691,0
692,0
693,0
694,0
695,1
696,0
697,1
698,0
699,0
700,0
701,1
702,1
703,1
704,1
705,1
706,1
707,1
708,0
709,0
710,0
711,1
712,1
713,0
714,1
715,0
716,1
717,1
718,0
719,1
720,0
721,1
722,0
723,0
724,1
725,0
726,1
727,0
728,0
729,0
730,1
731,1
732,1
733,1
734,1
735,0
736,0
737,1
738,0
739,0
740,0
741,0
742,0
743,0
744,0
745,1
746,0
747,0
748,0
749,1
750,0
751,1
752,1
753,0
754,1
755,1
756,1
757,0
758,0
759,0
760,0
761,0
762,0
763,0
764,0
765,1
766,1
767,1
768,0
769,0
770,1
771,0
772,1
773,0
774,1
775,1
776,1
777,1
778,0
779,0
780,0
781,0
782,0
783,0
784,0
785,1
786,1
787,1
788,0
789,0
790,1
791,0
792,1
793,0
794,0
795,0
796,1
797,0
798,1
799,0
800,1
801,1
802,1
803,1
804,0
805,0
806,0
807,1
808,0
809,0
810,0
811,0
812,0
