,0
0,1
1,0
2,0
3,1
4,1
5,0
6,1
7,1
8,0
9,0
10,0
11,1
12,0
13,1
14,0
15,1
16,1
17,0
18,1
19,0
20,1
21,1
22,1
23,0
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,0
32,0
33,0
34,1
35,1
36,0
37,0
38,1
39,1
40,1
41,0
42,1
43,0
44,1
45,0
46,0
47,0
48,0
49,0
50,0
51,1
52,1
53,1
54,0
55,0
56,0
57,1
58,1
59,1
60,1
61,0
62,1
63,1
64,1
65,1
66,0
67,0
68,1
69,0
70,0
71,0
72,0
73,0
74,0
75,1
76,1
77,0
78,0
79,1
80,0
81,1
82,0
83,1
84,0
85,0
86,0
87,1
88,0
89,0
90,0
91,0
92,0
93,1
94,1
95,0
96,0
97,0
98,0
99,0
100,0
101,1
102,0
103,0
104,1
105,0
106,0
107,0
108,1
109,1
110,1
111,1
112,1
113,0
114,0
115,0
116,0
117,0
118,1
119,0
120,0
121,1
122,1
123,0
124,1
125,1
126,0
127,0
128,0
129,1
130,1
131,0
132,1
133,0
134,0
135,1
136,1
137,0
138,1
139,0
140,0
141,1
142,0
143,1
144,0
145,1
146,1
147,0
148,1
149,0
150,0
151,0
152,0
153,1
154,1
155,1
156,1
157,1
158,0
159,1
160,0
161,0
162,1
163,1
164,0
165,0
166,1
167,1
168,0
169,1
170,0
171,0
172,0
173,1
174,0
175,0
176,1
177,1
178,1
179,1
180,0
181,0
182,0
183,0
184,0
185,1
186,0
187,1
188,0
189,0
190,1
191,1
192,1
193,0
194,0
195,0
196,0
197,1
198,0
199,1
200,1
201,1
202,1
203,1
204,1
205,1
206,0
207,0
208,1
209,1
210,0
211,0
212,1
213,1
214,1
215,0
216,1
217,1
218,1
219,0
220,0
221,1
222,0
223,1
224,0
