,0
0,0
1,0
2,1
3,1
4,0
5,0
6,0
7,1
8,0
9,1
10,1
11,1
12,0
13,0
14,1
15,1
16,1
17,1
18,1
19,0
20,1
21,1
22,1
23,1
24,0
25,0
26,1
27,0
28,0
29,0
30,1
31,0
32,0
33,1
34,0
35,1
36,1
37,0
38,1
39,0
40,1
41,0
42,0
43,0
44,1
45,1
46,0
47,0
48,1
49,0
50,1
51,0
52,1
53,0
54,1
55,1
56,1
57,1
58,0
59,0
60,1
61,1
62,1
63,0
64,0
65,1
66,0
67,1
68,0
69,1
70,1
71,0
72,1
73,0
74,0
75,0
76,0
77,1
78,1
79,1
80,1
81,1
82,0
83,0
84,0
85,0
86,0
87,1
88,0
89,1
90,0
91,1
92,0
93,1
94,0
95,0
96,1
97,0
98,1
99,1
100,0
101,0
102,0
103,1
104,1
105,1
106,1
107,0
108,0
109,1
110,1
111,1
112,0
113,1
114,1
115,0
116,1
117,1
118,0
119,0
120,0
121,0
122,1
123,0
124,1
125,0
126,1
127,0
128,0
129,0
130,1
131,0
132,0
133,0
134,1
135,0
136,1
137,0
138,1
139,1
140,0
141,0
142,1
143,1
144,1
145,0
146,1
147,1
148,0
149,0
150,1
151,0
152,0
153,1
154,1
155,1
156,0
157,0
158,1
159,1
160,1
161,0
162,0
163,1
164,1
165,0
166,0
167,1
168,1
169,0
170,0
171,0
172,0
173,1
174,0
175,0
176,0
177,1
178,1
179,1
180,1
181,0
182,0
183,1
184,1
185,1
186,0
187,1
188,1
189,0
190,0
191,0
192,0
193,0
194,1
195,0
196,1
197,0
198,0
199,0
200,0
201,0
202,1
203,0
204,1
205,1
206,1
207,1
208,0
209,0
210,1
211,1
212,1
213,1
214,1
215,1
216,0
217,1
218,1
219,1
220,1
221,1
222,1
223,0
224,1
225,0
226,0
227,1
228,0
229,0
230,0
231,0
232,1
233,0
234,0
235,1
236,1
237,0
238,0
239,1
240,0
241,1
242,0
243,1
244,0
245,0
246,1
247,1
248,0
249,1
250,0
251,0
252,0
253,0
254,1
255,0
256,0
257,0
258,1
259,1
260,0
261,0
262,1
263,1
264,0
265,0
266,1
267,0
268,0
269,1
270,0
271,0
272,1
273,0
274,1
275,0
276,0
277,1
278,1
279,0
280,0
281,0
282,1
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,1
292,0
293,1
294,0
295,0
296,1
297,0
298,1
299,1
300,0
301,1
302,0
303,0
304,0
305,0
306,0
307,1
308,0
309,0
310,1
311,1
312,0
313,0
314,0
315,1
316,1
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,1
325,1
326,0
327,1
328,0
329,0
330,1
331,0
332,1
333,0
334,1
335,1
336,0
337,0
338,0
339,1
340,1
341,1
342,0
343,0
344,0
345,0
346,1
347,0
348,1
349,1
350,1
351,1
352,1
353,0
354,0
355,1
356,1
357,0
358,1
359,1
360,0
361,0
362,1
363,0
364,1
365,0
366,0
367,1
368,1
369,1
370,1
371,0
372,0
373,1
374,1
375,1
376,1
377,1
378,1
379,1
380,1
381,1
382,0
383,1
384,1
385,0
386,0
387,0
388,0
389,0
390,1
391,0
392,0
393,1
394,1
395,1
396,0
397,0
398,0
399,0
400,0
401,0
402,1
403,1
404,1
405,1
406,1
407,1
408,1
409,0
410,0
411,0
412,1
413,1
414,0
415,0
416,1
417,0
418,1
419,1
420,1
421,0
422,1
423,0
424,1
425,1
426,0
427,0
428,0
429,1
430,0
431,1
432,1
433,1
434,0
435,1
436,0
437,0
438,1
439,1
440,0
441,0
442,1
443,1
444,1
445,1
446,0
447,0
448,1
449,0
450,0
451,1
452,1
453,0
454,0
455,1
456,1
457,0
458,1
459,1
460,0
461,1
462,0
463,0
464,0
465,1
466,0
467,1
468,0
469,1
470,1
471,0
472,0
473,0
474,0
475,1
476,0
477,1
478,0
479,0
480,1
481,0
482,1
483,1
484,1
485,1
486,1
487,1
488,0
489,1
490,0
491,0
492,0
493,0
494,1
495,0
496,0
497,0
498,0
499,0
500,1
501,0
502,0
503,0
504,1
505,1
506,0
507,1
508,1
509,0
510,0
511,0
512,0
513,0
514,0
515,0
516,1
517,0
518,0
519,0
520,0
521,1
522,1
523,0
524,0
525,0
526,0
527,0
528,0
529,0
530,1
531,1
532,0
