date,accident_num,평균기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),평균 이슬점온도(°C),year,month,day,측정소명,O3,PM10,PM2.5,season,요일,workday
2020-01-01,0.0,-0.6,0.0,0.9,65.8,-6.4,2020,1,1,구성동,0,0,1,winter,수요일,1
2020-01-02,0.0,1.3,0.0,0.9,76.9,-2.4,2020,1,2,구성동,0,1,1,winter,목요일,0
2020-01-03,0.0,2.0,0.0,1.1,73.4,-2.5,2020,1,3,구성동,0,1,2,winter,금요일,0
2020-01-04,0.0,0.6,0.0,0.9,78.1,-3.0,2020,1,4,구성동,0,1,1,winter,토요일,1
2020-01-05,0.0,1.3,0.0,0.8,63.5,-5.7,2020,1,5,구성동,0,1,1,winter,일요일,1
2020-01-06,0.0,2.9,10.3,1.2,87.4,0.9,2020,1,6,구성동,0,1,1,winter,월요일,0
2020-01-07,0.0,8.6,57.0,1.3,95.9,7.9,2020,1,7,구성동,0,0,0,winter,화요일,0
2020-01-08,0.0,4.5,2.4,2.2,88.4,2.7,2020,1,8,구성동,1,0,1,winter,수요일,0
2020-01-09,0.0,1.4,0.0,1.8,71.0,-3.4,2020,1,9,구성동,1,1,1,winter,목요일,0
2020-01-10,0.0,0.3,0.0,0.9,74.5,-4.1,2020,1,10,구성동,0,1,1,winter,금요일,0
2020-01-11,0.0,1.2,0.0,1.1,72.5,-3.4,2020,1,11,구성동,0,1,1,winter,토요일,1
2020-01-12,1.0,1.4,0.0,1.4,64.8,-4.6,2020,1,12,구성동,1,0,1,winter,일요일,1
2020-01-13,1.0,0.2,0.0,1.7,61.3,-6.5,2020,1,13,구성동,1,0,0,winter,월요일,0
2020-01-14,1.0,-0.1,0.0,1.0,60.5,-7.0,2020,1,14,구성동,0,0,1,winter,화요일,0
2020-01-15,1.0,-0.9,0.0,1.1,65.4,-6.9,2020,1,15,구성동,0,1,1,winter,수요일,0
2020-01-16,2.0,-0.6,0.0,1.0,56.5,-9.3,2020,1,16,구성동,0,1,1,winter,목요일,0
2020-01-17,2.0,0.0,0.0,0.7,56.5,-8.0,2020,1,17,구성동,0,1,1,winter,금요일,0
2020-01-18,0.0,0.5,0.0,1.0,55.0,-8.4,2020,1,18,구성동,0,1,1,winter,토요일,1
