date,accident_num,평균기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),평균 이슬점온도(°C),year,month,day,측정소명,O3,PM10,PM2.5,season,요일,workday
2020-01-01,0.0,-1.6,0.0,0.8,65.0,-7.5,2020,1,1,한솔동,0,0,1,winter,수요일,1
2020-01-02,2.0,0.7,0.0,0.6,74.3,-3.4,2020,1,2,한솔동,0,1,2,winter,목요일,0
2020-01-03,0.0,1.3,0.0,1.0,71.1,-3.7,2020,1,3,한솔동,0,1,2,winter,금요일,0
2020-01-04,0.0,0.2,0.0,0.8,69.1,-5.3,2020,1,4,한솔동,0,1,2,winter,토요일,1
2020-01-05,0.0,0.6,0.0,0.6,58.4,-7.6,2020,1,5,한솔동,0,1,1,winter,일요일,1
2020-01-06,0.0,2.4,11.8,1.1,83.6,-0.2,2020,1,6,한솔동,0,1,1,winter,월요일,0
2020-01-07,0.0,8.2,63.3,1.3,95.6,7.5,2020,1,7,한솔동,0,0,0,winter,화요일,0
2020-01-08,0.0,3.9,2.8,2.3,85.8,1.7,2020,1,8,한솔동,0,0,1,winter,수요일,0
2020-01-09,4.0,0.9,0.0,1.3,66.8,-4.7,2020,1,9,한솔동,0,1,1,winter,목요일,0
2020-01-10,0.0,-0.3,0.0,0.6,72.8,-5.0,2020,1,10,한솔동,0,1,2,winter,금요일,0
2020-01-11,0.0,0.5,0.0,1.0,70.9,-4.3,2020,1,11,한솔동,0,1,2,winter,토요일,1
2020-01-12,1.0,1.0,0.0,1.3,60.3,-5.9,2020,1,12,한솔동,1,0,1,winter,일요일,1
2020-01-13,2.0,-0.4,0.0,1.5,55.6,-8.5,2020,1,13,한솔동,0,0,0,winter,월요일,0
2020-01-14,0.0,-0.5,0.0,1.2,57.8,-8.0,2020,1,14,한솔동,0,1,1,winter,화요일,0
2020-01-15,1.0,-1.6,0.0,1.1,64.4,-7.8,2020,1,15,한솔동,0,1,1,winter,수요일,0
2020-01-16,0.0,-1.2,0.0,1.0,54.1,-10.7,2020,1,16,한솔동,0,1,1,winter,목요일,0
2020-01-17,1.0,-0.5,0.0,0.9,54.3,-9.0,2020,1,17,한솔동,0,1,2,winter,금요일,0
2020-01-18,0.0,0.2,0.0,0.8,54.0,-9.0,2020,1,18,한솔동,0,1,2,winter,토요일,1
2020-01-19,1.0,1.5,0.0,1.2,62.4,-5.1,2020,1,19,한솔동,0,1,2,winter,일요일,1
2020-01-20,1.0,2.2,0.0,1.8,57.9,-5.7,2020,1,20,한솔동,0,1,1,winter,월요일,0
2020-01-21,1.0,-0.3,0.0,0.9,41.9,-12.4,2020,1,21,한솔동,0,1,1,winter,화요일,0
2020-01-22,1.0,1.5,0.4,0.7,58.4,-5.8,2020,1,22,한솔동,0,1,2,winter,수요일,0
2020-01-23,0.0,5.8,0.0,1.2,50.4,-4.2,2020,1,23,한솔동,0,1,1,winter,목요일,0
2020-01-24,0.0,4.0,0.0,0.8,62.6,-3.1,2020,1,24,한솔동,0,1,2,winter,금요일,1
2020-01-25,0.0,4.6,0.0,0.5,71.6,-0.3,2020,1,25,한솔동,0,1,2,winter,토요일,1
2020-01-26,0.0,6.1,0.0,1.7,65.9,-0.5,2020,1,26,한솔동,0,1,1,winter,일요일,1
2020-01-27,0.0,5.5,3.0,2.6,67.6,-0.4,2020,1,27,한솔동,1,0,0,winter,월요일,0
2020-01-28,0.0,6.4,0.0,0.9,68.5,0.7,2020,1,28,한솔동,0,0,0,winter,화요일,0
2020-01-29,0.0,6.5,0.0,1.4,54.6,-2.1,2020,1,29,한솔동,0,0,0,winter,수요일,0
2020-01-30,0.0,5.6,0.0,0.9,54.4,-3.3,2020,1,30,한솔동,0,0,0,winter,목요일,0
2020-01-31,0.0,3.3,0.0,1.1,67.0,-2.5,2020,1,31,한솔동,0,1,1,winter,금요일,0
2020-02-01,0.0,1.5,0.0,0.9,75.6,-2.5,2020,2,1,한솔동,0,1,2,winter,토요일,1
2020-02-02,0.0,1.3,0.0,0.9,67.4,-4.9,2020,2,2,한솔동,0,1,2,winter,일요일,1
2020-02-03,0.0,0.8,0.0,1.9,52.6,-8.2,2020,2,3,한솔동,0,1,1,winter,월요일,0
2020-02-04,0.0,-0.4,0.9,1.2,59.4,-8.0,2020,2,4,한솔동,0,0,1,winter,화요일,0
2020-02-05,0.0,-5.7,0.0,2.9,44.1,-16.3,2020,2,5,한솔동,1,0,0,winter,수요일,0
2020-02-06,1.0,-5.6,0.0,1.2,43.8,-16.6,2020,2,6,한솔동,0,1,1,winter,목요일,0
2020-02-07,0.0,-1.9,0.0,1.0,54.1,-10.2,2020,2,7,한솔동,0,1,1,winter,금요일,0
2020-02-08,1.0,0.9,0.0,2.1,50.4,-8.8,2020,2,8,한솔동,0,1,1,winter,토요일,1
2020-02-09,0.0,-0.4,0.0,1.1,57.0,-8.6,2020,2,9,한솔동,0,0,1,winter,일요일,1
2020-02-10,0.0,4.3,0.0,1.4,49.6,-6.3,2020,2,10,한솔동,0,1,1,winter,월요일,0
2020-02-11,0.0,6.4,0.0,0.7,42.9,-6.9,2020,2,11,한솔동,0,1,1,winter,화요일,0
2020-02-12,0.0,6.5,12.8,0.8,89.1,4.6,2020,2,12,한솔동,0,1,2,winter,수요일,0
2020-02-13,0.0,7.4,0.0,0.9,88.1,5.5,2020,2,13,한솔동,0,1,1,winter,목요일,0
2020-02-14,0.0,6.4,0.0,0.7,81.4,3.1,2020,2,14,한솔동,0,1,2,winter,금요일,0
2020-02-15,0.0,9.3,1.4,1.0,74.4,4.3,2020,2,15,한솔동,0,1,2,winter,토요일,1
2020-02-16,0.0,-0.1,8.7,2.3,81.1,-2.9,2020,2,16,한솔동,1,0,0,winter,일요일,1
2020-02-17,0.0,-3.9,1.5,2.3,72.1,-8.3,2020,2,17,한솔동,1,0,0,winter,월요일,0
2020-02-18,0.0,-2.4,0.2,1.3,62.1,-9.3,2020,2,18,한솔동,0,0,0,winter,화요일,0
2020-02-19,0.0,1.2,0.0,0.8,66.0,-4.7,2020,2,19,한솔동,0,1,1,winter,수요일,0
2020-02-20,3.0,4.9,0.0,0.7,65.9,-1.5,2020,2,20,한솔동,0,1,2,winter,목요일,0
2020-02-21,2.0,6.6,1.9,1.0,70.5,1.1,2020,2,21,한솔동,0,1,2,winter,금요일,0
2020-02-22,0.0,5.6,1.9,2.6,57.0,-3.1,2020,2,22,한솔동,1,1,1,winter,토요일,1
2020-02-23,0.0,3.1,0.0,1.3,47.8,-7.6,2020,2,23,한솔동,1,0,0,winter,일요일,1
2020-02-24,0.0,6.5,0.2,0.9,51.9,-3.7,2020,2,24,한솔동,0,0,0,winter,월요일,0
2020-02-25,0.0,6.3,54.5,1.8,92.4,5.1,2020,2,25,한솔동,0,0,1,winter,화요일,0
2020-02-26,0.0,7.1,0.0,1.7,69.3,1.5,2020,2,26,한솔동,1,1,0,winter,수요일,0
2020-02-27,1.0,5.6,0.0,0.9,64.6,-1.4,2020,2,27,한솔동,0,1,1,winter,목요일,0
2020-02-28,0.0,4.6,5.7,1.0,83.4,2.0,2020,2,28,한솔동,0,0,1,winter,금요일,0
2020-02-29,0.0,7.3,0.0,1.0,74.5,2.6,2020,2,29,한솔동,0,0,1,winter,토요일,1
2020-03-01,0.0,5.6,0.0,1.2,79.4,2.1,2020,3,1,한솔동,0,1,1,spring,일요일,1
2020-03-02,1.0,4.5,0.0,2.3,52.5,-4.8,2020,3,2,한솔동,1,1,1,spring,월요일,0
2020-03-03,0.0,6.2,0.0,1.4,60.4,-1.3,2020,3,3,한솔동,1,1,1,spring,화요일,0
2020-03-04,0.0,2.9,0.0,2.6,55.6,-5.5,2020,3,4,한솔동,1,0,1,spring,수요일,0
2020-03-05,0.0,2.1,0.0,1.6,47.6,-8.8,2020,3,5,한솔동,1,1,1,spring,목요일,0
2020-03-06,0.0,3.5,0.0,0.9,46.6,-8.4,2020,3,6,한솔동,0,1,1,spring,금요일,0
2020-03-07,0.0,5.5,0.0,0.7,56.8,-2.6,2020,3,7,한솔동,0,1,1,spring,토요일,1
2020-03-08,0.0,8.0,0.0,0.8,57.9,-1.4,2020,3,8,한솔동,0,1,1,spring,일요일,1
2020-03-09,0.0,9.4,1.1,0.8,58.9,1.1,2020,3,9,한솔동,0,1,2,spring,월요일,0
2020-03-10,0.0,6.2,6.3,1.7,80.9,3.0,2020,3,10,한솔동,1,1,1,spring,화요일,0
2020-03-11,0.0,4.7,0.0,2.2,41.5,-8.1,2020,3,11,한솔동,1,1,0,spring,수요일,0
2020-03-12,0.0,6.3,0.0,1.3,41.3,-8.1,2020,3,12,한솔동,0,1,0,spring,목요일,0
2020-03-13,1.0,5.6,0.0,2.2,42.4,-8.4,2020,3,13,한솔동,0,0,0,spring,금요일,0
2020-03-14,0.0,4.7,0.0,1.9,43.6,-7.2,2020,3,14,한솔동,1,0,0,spring,토요일,1
2020-03-15,0.0,4.8,0.0,2.6,48.0,-6.1,2020,3,15,한솔동,1,1,0,spring,일요일,1
2020-03-16,0.0,4.2,0.0,1.7,44.3,-7.8,2020,3,16,한솔동,1,0,0,spring,월요일,0
2020-03-17,0.0,6.5,0.0,1.4,70.6,1.4,2020,3,17,한솔동,1,1,1,spring,화요일,0
2020-03-18,0.0,10.5,0.0,1.3,52.4,-2.3,2020,3,18,한솔동,0,1,1,spring,수요일,0
2020-03-19,0.0,10.2,0.0,3.4,45.5,-1.4,2020,3,19,한솔동,1,1,1,spring,목요일,0
2020-03-20,1.0,9.1,0.0,1.6,39.0,-5.3,2020,3,20,한솔동,1,1,0,spring,금요일,0
2020-03-21,0.0,13.2,0.0,1.7,52.4,3.4,2020,3,21,한솔동,1,1,1,spring,토요일,1
2020-03-22,2.0,12.2,0.0,2.4,44.5,-1.7,2020,3,22,한솔동,1,1,1,spring,일요일,1
2020-03-23,0.0,10.2,0.0,1.7,43.8,-2.4,2020,3,23,한솔동,1,1,1,spring,월요일,0
2020-03-24,0.0,10.3,0.0,1.3,54.5,-0.9,2020,3,24,한솔동,1,1,2,spring,화요일,0
2020-03-25,1.0,12.7,0.0,1.2,45.0,0.0,2020,3,25,한솔동,1,1,1,spring,수요일,0
2020-03-26,0.0,13.3,0.2,1.3,69.1,7.4,2020,3,26,한솔동,0,1,1,spring,목요일,0
2020-03-27,0.0,10.9,15.0,1.4,74.6,6.1,2020,3,27,한솔동,0,0,1,spring,금요일,0
2020-03-28,1.0,7.3,0.0,2.4,27.8,-10.6,2020,3,28,한솔동,1,1,0,spring,토요일,1
2020-03-29,0.0,8.2,0.0,1.1,45.9,-3.4,2020,3,29,한솔동,1,1,0,spring,일요일,1
2020-03-30,0.0,10.9,0.0,1.2,44.5,-1.3,2020,3,30,한솔동,1,1,1,spring,월요일,0
2020-03-31,1.0,11.5,0.0,1.4,37.6,-4.1,2020,3,31,한솔동,1,1,1,spring,화요일,0
2020-04-01,0.0,10.6,0.0,1.8,38.5,-3.6,2020,4,1,한솔동,1,1,1,spring,수요일,0
2020-04-02,0.0,9.3,0.0,1.5,44.9,-3.3,2020,4,2,한솔동,1,1,1,spring,목요일,0
2020-04-03,0.0,9.7,0.0,1.6,43.0,-3.6,2020,4,3,한솔동,1,1,1,spring,금요일,0
2020-04-04,0.0,8.5,0.0,2.5,43.4,-5.3,2020,4,4,한솔동,1,1,1,spring,토요일,1
2020-04-05,2.0,7.7,0.0,1.7,29.8,-10.4,2020,4,5,한솔동,1,1,0,spring,일요일,1
2020-04-06,0.0,9.0,0.0,1.3,42.4,-5.6,2020,4,6,한솔동,1,1,1,spring,월요일,0
2020-04-07,0.0,10.8,0.0,1.4,52.5,0.9,2020,4,7,한솔동,1,1,1,spring,화요일,0
2020-04-08,0.0,9.1,0.0,2.7,35.8,-7.8,2020,4,8,한솔동,1,0,0,spring,수요일,0
2020-04-09,0.0,8.9,0.0,1.6,43.9,-3.7,2020,4,9,한솔동,1,1,1,spring,목요일,0
2020-04-10,1.0,10.2,0.0,1.4,45.9,-1.8,2020,4,10,한솔동,1,1,1,spring,금요일,0
2020-04-11,0.0,8.3,0.0,1.2,58.1,-0.5,2020,4,11,한솔동,1,1,1,spring,토요일,1
2020-04-12,0.0,8.1,0.8,1.5,65.4,1.5,2020,4,12,한솔동,1,1,1,spring,일요일,1
2020-04-13,0.0,10.7,0.0,2.5,37.0,-4.4,2020,4,13,한솔동,1,0,0,spring,월요일,0
2020-04-14,1.0,12.3,0.0,1.4,38.0,-4.1,2020,4,14,한솔동,1,0,1,spring,화요일,0
2020-04-15,0.0,12.5,0.0,1.3,36.8,-3.6,2020,4,15,한솔동,1,1,2,spring,수요일,0
2020-04-16,0.0,15.7,0.0,1.6,39.6,1.0,2020,4,16,한솔동,1,1,1,spring,목요일,0
2020-04-17,0.0,13.0,5.1,2.1,70.4,7.4,2020,4,17,한솔동,1,1,0,spring,금요일,0
2020-04-18,0.0,13.3,0.2,1.7,65.5,6.2,2020,4,18,한솔동,1,1,1,spring,토요일,1
2020-04-19,0.0,11.1,11.5,1.8,80.4,7.6,2020,4,19,한솔동,1,0,0,spring,일요일,1
2020-04-20,0.0,10.8,0.0,1.7,72.3,5.7,2020,4,20,한솔동,1,0,0,spring,월요일,0
2020-04-21,0.0,7.9,0.0,2.7,45.9,-4.1,2020,4,21,한솔동,1,0,0,spring,화요일,0
2020-04-22,0.0,6.4,0.0,2.6,40.4,-6.3,2020,4,22,한솔동,1,1,0,spring,수요일,0
2020-04-23,0.0,8.2,0.0,2.2,42.1,-4.9,2020,4,23,한솔동,1,1,0,spring,목요일,0
2020-04-24,0.0,9.7,0.0,2.3,42.6,-3.7,2020,4,24,한솔동,1,1,0,spring,금요일,0
2020-04-25,0.0,14.5,0.0,3.0,44.3,1.6,2020,4,25,한솔동,1,1,1,spring,토요일,1
2020-04-26,0.0,12.0,0.0,2.3,41.6,-3.6,2020,4,26,한솔동,1,0,0,spring,일요일,1
2020-04-27,0.0,11.4,0.0,1.7,41.6,-1.8,2020,4,27,한솔동,1,0,0,spring,월요일,0
2020-04-28,0.0,12.7,0.0,1.5,53.4,1.9,2020,4,28,한솔동,1,1,1,spring,화요일,0
2020-04-29,0.0,15.2,0.0,1.5,45.4,1.2,2020,4,29,한솔동,1,1,1,spring,수요일,0
2020-04-30,0.0,17.0,0.0,1.5,55.0,7.2,2020,4,30,한솔동,1,1,0,spring,목요일,1
2020-05-01,0.0,21.8,0.0,2.0,64.6,14.3,2020,5,1,한솔동,1,1,1,spring,금요일,0
2020-05-02,0.0,22.0,0.0,1.6,59.8,13.1,2020,5,2,한솔동,1,1,1,spring,토요일,1
2020-05-03,0.0,18.9,4.6,1.6,78.0,14.8,2020,5,3,한솔동,1,0,0,spring,일요일,1
2020-05-04,0.0,19.3,0.0,1.4,70.4,13.1,2020,5,4,한솔동,1,0,0,spring,월요일,0
2020-05-05,0.0,14.2,1.9,1.0,85.8,11.7,2020,5,5,한솔동,0,0,0,spring,화요일,1
2020-05-06,0.0,18.9,0.0,1.8,58.3,8.1,2020,5,6,한솔동,1,0,0,spring,수요일,0
2020-05-07,0.0,19.6,0.0,2.7,30.3,0.9,2020,5,7,한솔동,1,0,0,spring,목요일,0
2020-05-08,0.0,18.0,7.3,1.7,42.4,3.0,2020,5,8,한솔동,1,0,0,spring,금요일,0
2020-05-09,0.0,15.2,18.7,1.4,94.3,14.2,2020,5,9,한솔동,1,0,0,spring,토요일,1
2020-05-10,0.0,14.3,0.7,1.3,89.0,12.4,2020,5,10,한솔동,1,0,0,spring,일요일,1
2020-05-11,3.0,17.9,0.1,1.6,63.1,9.9,2020,5,11,한솔동,1,1,1,spring,월요일,0
2020-05-12,0.0,15.5,0.0,2.2,63.4,8.1,2020,5,12,한솔동,1,1,0,spring,화요일,0
2020-05-13,0.0,15.8,0.0,1.6,45.1,2.1,2020,5,13,한솔동,1,0,0,spring,수요일,0
2020-05-14,0.0,19.4,0.0,0.9,40.5,4.2,2020,5,14,한솔동,1,1,0,spring,목요일,0
2020-05-15,0.0,16.0,30.3,1.5,85.0,13.1,2020,5,15,한솔동,1,1,0,spring,금요일,0
2020-05-16,0.0,16.9,0.4,0.9,87.6,14.7,2020,5,16,한솔동,1,0,0,spring,토요일,1
2020-05-17,0.0,20.4,0.0,1.1,69.9,14.2,2020,5,17,한솔동,1,0,0,spring,일요일,1
2020-05-18,2.0,19.0,15.6,1.9,77.3,14.5,2020,5,18,한솔동,1,0,0,spring,월요일,0
2020-05-19,1.0,13.3,5.0,1.6,76.9,9.2,2020,5,19,한솔동,1,0,0,spring,화요일,0
2020-05-20,0.0,14.7,0.0,1.4,60.3,6.6,2020,5,20,한솔동,0,0,0,spring,수요일,0
2020-05-21,0.0,16.9,0.0,0.9,67.3,10.2,2020,5,21,한솔동,1,0,0,spring,목요일,0
2020-05-22,1.0,19.1,0.0,1.7,66.8,12.5,2020,5,22,한솔동,1,0,0,spring,금요일,0
2020-05-23,0.0,20.2,0.0,1.4,63.5,12.3,2020,5,23,한솔동,1,0,1,spring,토요일,1
